Username,Comment
@lynshadrew7954,Barcelona needs maturity in defending. Poor defence!
@svilenmitev5189,For me this match was sold by Barcelona. If you observe carefully especially the last 2 goals of Inter. It's all about earning money given Barcelona is in financial crisis. It's all about the gambling with football nowadays.
@reginaldkarpinski,"I'm telling you, when a match ends 4–3 and there's an Italian team involved, you can be sure they're the winners."
@hcwaks,Rm fans happier than Inter fans
@firozali5242,Comeback and goback in 1 game😂😂😂😂
@MrCamachin,"As a Real Madrid fan, I must admit that I don't remember seeing a game as spectacular and crazy as this one,this was total football"
@radojescepanovic7153,This hs to be the best match      in the champinons league😤😤
@paisleylou1234,Ha ha 👋👋👋👋 goodbye Barca
@FPSF87,What sucks Barça's defense😮
@mehediaraf-h2b,Congratulations. Inter milan 🇦🇷 its huge moment for Lautaro👑
@dl0680,"WORST Semi-finals OAT. I say that as a GOATcelona fan. 

I was rooting for my goats, but they DISAPPOINTED as always in the UCL. At least VARDRID won't be lifting the trophy, which is still something."
@jeanmarieabokgama20,Wow inter de Milan fait jouer le Pépé ?❤
@sulupeacecharles1397,Commentator bias
@devayani3582,Semi final ma gayera haryo 😢😭😭
@СергейБлудов-щ4б,Интер 💪💪
@ASV-k4i,"Классный матч. Жаль Барселону, они просто устали. Флик ошибся только в одном, что оставил в воротах на оба матча вратаря Щесны. Очень слабая игра вратаря: 0 сейвов в первой встречи, против 8 сейвов Зоммера и в этой встрече только 3 сейва против 7 Зоммера. Пенья гораздо лучше играет, моложе, у него реакция лучше. Я не знаю почему Пенья впал в немилость Флику."
@AbulJan-c9i,"Lewandowski, lamine yamal,raphhina 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
@Auto-p6m,"Unfortunately after the second goal many Inter players stopped playing, got scared and their strength left them, only the strong man Acerbi believed in victory. Fratesi and Taremi also wanted to win and were not afraid. Inter play, you can do it."
@Auto-p6m,"Unfortunately after the second goal many Inter players stopped playing, got scared and their strength left them, only the strong man Acerbi believed in victory. Fratesi and Taremi also wanted to win and were not afraid. Inter play, you can do it."
@ff_mirza777,Calhanoglu best 👑
@benoitl.858,worst quality ever on internet
@GecheBaz,"Barca needed someone to shut up.
They got last night.
Inter deserved to win"
@eropka-e9g,Это невозможно смотреть! Что за камера???
@arslanrabbani6929,what a game🔥
@angerfist2258,Lewandowski go to Poland
@OG_THENIGHTMARE,"As a Madrid fan, well played Inter❤️‍🔥💪"
@SuperDiscount-e9b,un des matchs les plus important de la saison et on se tape un résumé de merde avec une qualité de merde sérieux ptn
@dieumerci5501,Mbappé va être content ❤😂
@narutosakurasasuke6280,+1
@НекрузДодочонов-л1н,"Не какой команда не может против Барселона честно играть,
Не какой команда"
@НекрузДодочонов-л1н,Самый лучший команда для меня это Барселона был и будет всегда
@НекрузДодочонов-л1н,"Виска Барса 
Виска Каталония"
@SavioDias-c8o,"Inter have to win this year CL, after a gap of 15 years, these goals are a miracle, Blessings from Our Late Pope Francis."
@kdramafever788,Goaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaal 5:18 😅
@eloisimon2311,Worst highlight
@vbs-mb1qs,"The magic of San Siro! Tal destroy this historic stadium, so many beautiful moments I love so much this stadium . Renovate it yes, but please don't destroy! Grande San Siro!"
@mavungcobo1795,These highlights are 🚮🚮
@aureliadragomir7796,Announcer: Carlos Martinez (Movistar Plus+).
@SalarAshofte,Good job Mehdi Taromi❤
